Date,Open,High,Low,Close,Volume,ticker
2019-01-02,92.73070067123591,94.77999501810811,92.16248588194682,94.19315338134766,35329300,MSFT
2019-01-03,93.24300972046,93.32684829113309,90.54166232197043,90.72796630859375,42579100,MSFT
2019-01-04,92.88905108847246,95.48793330274081,92.15316626592872,94.94766235351562,44060600,MSFT
2019-01-07,94.67753594879431,96.19587641006584,94.0627504461511,95.06876373291016,35656100,MSFT
2019-01-08,95.98162195660773,96.84791598725403,94.74272704380061,95.75806427001953,31514400,MSFT
2019-01-09,96.74543914679175,97.69556453271322,96.167907492278,97.12734985351562,32280800,MSFT
2019-01-10,96.14929842786032,96.64299160935967,95.36683581232134,96.50326538085938,30067600,MSFT
2019-01-11,96.12134817576435,96.35422283876852,94.67752242243027,95.75806427001953,28314200,MSFT
2019-01-14,94.9196991567882,95.82325384444417,94.32354068165286,95.0594253540039,28437100,MSFT
2019-01-15,95.48791925241571,97.85392644457843,94.90107061203932,97.81666564941406,31587600,MSFT
2019-01-16,98.049563500968,98.98106228028657,97.77011102446376,98.16133880615234,29853900,MSFT
2019-01-17,97.80736584520311,99.32570620417194,97.58380814173859,98.85064697265625,28393000,MSFT
2019-01-18,100.09882094794725,100.50868253341369,98.65500263810978,100.33169555664062,37427600,MSFT
2019-01-22,99.43747623484761,99.76349932573893,97.67694443726407,98.4407730102539,32371300,MSFT
2019-01-23,98.85065714562303,99.70763435274003,98.12408209774003,99.40023803710938,25874300,MSFT
2019-01-24,99.53994817141026,99.6703574163105,98.12406621710652,98.92515563964844,23164800,MSFT
2019-01-25,99.89390181836622,100.49006031768445,98.92514248028162,99.82869720458984,31225600,MSFT
2019-01-28,98.98105814116421,99.1859890011281,97.49066157793322,97.88188934326172,29476700,MSFT
2019-01-29,97.69558383618954,97.77942241706069,95.17122314123856,95.88848114013672,31490500,MSFT
2019-01-30,97.4533942862602,99.09282684326172,97.18325881672939,99.09282684326172,49471900,MSFT
2019-01-31,96.68955615382367,98.01228244147227,96.11202447156276,97.27639770507812,55636400,MSFT
2019-02-01,96.67092426587615,96.96900353574821,95.3388809740294,95.73942565917969,35535700,MSFT
2019-02-04,95.82323966933052,98.55253017169126,95.73008414712079,98.49663543701172,31315100,MSFT
2019-02-05,98.79474048673215,99.9218529541223,98.70159204691247,99.87528228759766,27325400,MSFT
2019-02-06,99.67035474706215,99.67035474706215,98.30105060550986,98.76679992675781,20609800,MSFT
2019-02-07,97.98434628717902,98.35694006563924,97.14599607210197,98.0588607788086,29760700,MSFT
2019-02-08,97.2391479593902,98.53393057366128,97.11805568778053,98.43146514892578,21461100,MSFT
2019-02-11,98.92513524752106,99.2791092165153,97.77939610253807,98.04021453857422,18914100,MSFT
2019-02-12,98.86924723981868,99.8007457117271,98.25446194387918,99.56787109375,25056600,MSFT
2019-02-13,100.13610640866298,100.39692489757431,99.40022161107984,99.49337005615234,18394900,MSFT
2019-02-14,99.02761397328908,99.94048572901892,98.42214556820731,99.57720184326172,21784700,MSFT
2019-02-15,100.51799284444597,100.88127664138449,100.00566589657443,100.80675506591797,26606900,MSFT
2019-02-19,100.40624880087428,101.21665525313153,100.39693182369302,100.76021575927734,18038500,MSFT
2019-02-20,100.90053107412884,100.97537093315574,99.43183274205428,100.23634338378906,21607700,MSFT
2019-02-21,100.00246111736158,102.41599272737103,99.97439795817183,102.35050964355469,29063200,MSFT
2019-02-22,102.94921573193517,104.02500824857779,102.73405294633407,103.80985260009766,27763200,MSFT
2019-02-25,104.54888327300539,104.94178179394864,104.08114489937165,104.38984680175781,23750600,MSFT
2019-02-26,104.08112279283918,105.93336236223051,103.99692619216522,105.11014556884766,21536700,MSFT
2019-02-27,104.48340160464026,105.11016932090934,103.7256605758242,104.93242645263672,21487100,MSFT
