Date,TSLA,GME,AAPL,MSFT,^GSPC
2019-01-02,20.674667358398438,3.160276174545288,37.469200134277344,94.19315338134766,2510.030029296875
2019-01-03,20.02400016784668,3.136096715927124,33.736995697021484,90.72796630859375,2447.889892578125
2019-01-04,21.179332733154297,3.684973955154419,35.17721176147461,94.94766235351562,2531.93994140625
2019-01-07,22.33066749572754,3.7430050373077393,35.098899841308594,95.06876373291016,2549.68994140625
2019-01-08,22.356666564941406,3.822798013687134,35.768001556396484,95.75806427001953,2574.409912109375
2019-01-09,22.568666458129883,3.863903045654297,36.375404357910156,97.12734985351562,2584.9599609375
2019-01-10,22.99799919128418,3.85906720161438,36.49166488647461,96.50326538085938,2596.639892578125
2019-01-11,23.150667190551758,3.8324697017669678,36.133384704589844,95.75806427001953,2596.260009765625
2019-01-14,22.293333053588867,3.7816925048828125,35.59006118774414,95.0594253540039,2582.610107421875
2019-01-15,22.961999893188477,3.7550947666168213,36.31846618652344,97.81666564941406,2610.300048828125
2019-01-16,23.06999969482422,3.7913644313812256,36.76213455200195,98.16133880615234,2616.10009765625
2019-01-17,23.15399932861328,3.8131260871887207,36.98043441772461,98.85064697265625,2635.9599609375
2019-01-18,20.150667190551758,3.851813554763794,37.20820617675781,100.33169555664062,2670.7099609375
2019-01-22,19.92799949645996,3.692228078842163,36.37302780151367,98.4407730102539,2632.89990234375
2019-01-23,19.172666549682617,3.7430050373077393,36.5201301574707,99.40023803710938,2638.699951171875
2019-01-24,19.43400001525879,3.8203799724578857,36.23066711425781,98.92515563964844,2642.330078125
2019-01-25,19.80266761779785,3.84455943107605,37.43124008178711,99.82869720458984,2664.760009765625
2019-01-28,19.7586669921875,3.7478411197662354,37.0848388671875,97.88188934326172,2643.85009765625
2019-01-29,19.83066749572754,2.727461099624634,36.70045471191406,95.88848114013672,2640.0
2019-01-30,20.584667205810547,2.7081172466278076,39.20836639404297,99.09282684326172,2681.050048828125
2019-01-31,20.468000411987305,2.741968870162964,39.4907112121582,97.27639770507812,2704.10009765625
2019-02-01,20.81399917602539,2.7177891731262207,39.50969696044922,95.73942565917969,2706.530029296875
2019-02-04,20.859333038330078,2.749222755432129,40.63196563720703,98.49663543701172,2724.8701171875
2019-02-05,21.42333221435547,2.8507771492004395,41.327171325683594,99.87528228759766,2737.699951171875
2019-02-06,21.148000717163086,2.783074378967285,41.34140396118164,98.76679992675781,2731.610107421875
2019-02-07,20.500667572021484,2.773402452468872,40.55842208862305,98.0588607788086,2706.050048828125
2019-02-08,20.386667251586914,2.744386911392212,40.6060791015625,98.43146514892578,2707.8798828125
2019-02-11,20.856000900268555,2.732296943664551,40.372562408447266,98.04021453857422,2709.800048828125
2019-02-12,20.78733253479004,2.792746067047119,40.72044372558594,99.56787109375,2744.72998046875
2019-02-13,20.544666290283203,2.773402452468872,40.55127716064453,99.49337005615234,2753.030029296875
2019-02-14,20.251333236694336,2.739550828933716,40.699012756347656,99.57720184326172,2745.72998046875
2019-02-15,20.525333404541016,2.763730525970459,40.608463287353516,100.80675506591797,2775.60009765625
2019-02-19,20.375999450683594,2.7081172466278076,40.72997283935547,100.76021575927734,2779.760009765625
2019-02-20,20.17066764831543,2.7081172466278076,40.992095947265625,100.23634338378906,2784.699951171875
2019-02-21,19.415332794189453,2.6670119762420654,40.760948181152344,102.35050964355469,2774.8798828125
2019-02-22,19.6473331451416,2.749222755432129,41.216087341308594,103.80985260009766,2792.669921875
2019-02-25,19.917999267578125,2.792746067047119,41.51632308959961,104.38984680175781,2796.110107421875
2019-02-26,19.857332229614258,2.8145077228546143,41.5401496887207,105.11014556884766,2793.89990234375
2019-02-27,20.982667922973633,2.8217616081237793,41.6688232421875,104.93242645263672,2792.3798828125
2019-02-28,21.325332641601562,2.8290154933929443,41.258975982666016,104.80147552490234,2784.489990234375
2019-03-01,19.652666091918945,2.8411052227020264,41.692657470703125,105.26919555664062,2803.68994140625
2019-03-04,19.02400016784668,2.797581911087036,41.90234375,105.01660919189453,2792.81005859375
2019-03-05,18.43600082397461,2.8048360347747803,41.82609939575195,104.49276733398438,2789.64990234375
2019-03-06,18.416000366210938,2.795164108276367,41.58543014526367,104.53952026367188,2771.449951171875
2019-03-07,18.439332962036133,2.8024179935455322,41.10409164428711,103.26729583740234,2748.929931640625
2019-03-08,18.94266700744629,2.6525044441223145,41.201786041259766,103.3795394897461,2743.070068359375
2019-03-11,19.39466667175293,2.722625255584717,42.62911605834961,105.5498275756836,2783.300048828125
2019-03-12,18.890666961669922,2.773402452468872,43.108062744140625,106.28887939453125,2791.52001953125
2019-03-13,19.263999938964844,2.799999952316284,43.29868698120117,107.11209106445312,2810.919921875
2019-03-14,19.33066749572754,2.737499952316284,43.780029296875,107.1962661743164,2808.47998046875
2019-03-15,18.36199951171875,2.765000104904175,44.34952926635742,108.43109893798828,2822.47998046875
2019-03-18,17.965999603271484,2.7674999237060547,44.802276611328125,109.98401641845703,2832.93994140625
2019-03-19,17.83133316040039,2.740000009536743,44.44721984863281,110.05883026123047,2832.570068359375
2019-03-20,18.239999771118164,2.625,44.83562088012695,109.93722534179688,2824.22998046875
2019-03-21,18.26799964904785,2.637500047683716,46.48694610595703,112.46302795410156,2854.8798828125
2019-03-22,17.635332107543945,2.612499952316284,45.52427291870117,109.49754333496094,2800.7099609375
2019-03-25,17.3613338470459,2.5350000858306885,44.97382736206055,110.06818389892578,2798.360107421875
2019-03-26,17.851333618164062,2.5875000953674316,44.50917434692383,110.30208587646484,2818.4599609375
2019-03-27,18.32200050354004,2.572499990463257,44.90949630737305,109.2356185913086,2805.3701171875
2019-03-28,18.57466697692871,2.547499895095825,44.96906661987305,109.38528442382812,2815.43994140625
